id,price_inr
9733,4701.37
14147,1255.22
52112,1705.9
6400,2004.08
34297,4431.0
24084,725.46
12536,4770.03
54563,795.19
15259,1856.88
35189,4861.92
44770,904.03
4217,2625.73
47279,1231.39
36480,3308.52
16750,3282.09
50705,3871.07
26693,4854.47
37946,1015.64
3578,530.61
40516,2798.03
10321,1529.32
16988,982.86
59047,4263.78
2666,2813.13
41608,3734.22
46167,4268.64
5109,1440.43
46601,3557.78
11981,3223.15
20584,1020.62
17328,3232.62
49532,2938.96
10447,1772.07
56412,2113.31
59721,3509.74
30797,3938.73
2100,4642.9
11759,3907.86
40270,858.0
19305,688.42
4571,3811.88
16036,1164.02
22393,4307.95
44016,1061.14
7078,783.34
32180,4866.3
43779,670.42
9055,4303.27
14621,4236.23
45308,2245.56
6366,2061.13
44002,2526.04
32194,3058.87
12244,4154.49
52660,3428.99
23099,1924.99
14635,4844.06
9041,4677.57
6372,2646.02
11995,630.78
46615,4027.95
49526,3824.0
20590,606.29
51369,1935.65
56406,591.93
10453,3354.81
2114,4018.18
30783,2865.43
59735,4048.88
57718,1103.57
40264,3501.32
4565,1918.02
19311,3542.66
16022,2484.28
48638,3324.73
36494,4539.15
4203,1025.91
19477,779.8
50711,2758.58
16744,2082.67
28872,1657.55
37952,2672.08
26687,1689.86
40502,4788.42
56360,3548.31
10335,2415.75
2672,2945.39
59053,3692.08
18769,2201.15
49240,2187.97
52106,4599.58
34283,1213.62
6414,4832.98
24090,4858.47
23927,4890.65
54577,2335.77
12522,4512.4
8439,3668.74
44764,637.53
2882,4559.66
50739,4555.52
47245,3718.97
3544,3200.6
57056,3962.12
18999,4597.72
11003,4962.02
39957,760.91
56348,3305.99
51427,4576.32
49268,978.64
38491,3683.43
5135,1149.27
18741,2919.73
26877,2084.7
32802,959.4
55641,3741.74
44994,3864.89
43023,2099.79
7722,1705.97
55899,4067.7
15265,579.83
8411,1614.94
24906,3193.18
7044,1514.73
53556,4097.35
15503,1155.07
8377,2406.57
43745,2977.01
52890,4003.05
55127,4082.31
13172,2414.51
45334,1458.63
9069,2491.14
52648,1008.35
51341,2381.79
17314,2919.82
18027,3706.79
41152,1055.53
57730,4195.68
11765,587.59
48610,3413.53
19339,1963.74
47523,4508.19
17300,3394.22
51355,4588.22
18033,2496.12
46629,978.6
5647,1968.35
